Timestamp (UTC)	Shijiazhuang co	Shijiazhuang no2	Shijiazhuang o3	Shijiazhuang pm10	Shijiazhuang pm25	Shijiazhuang so2
2017-03-31 01:00	1376.375	60.875	11.75	181.75	97.75	24.125
2017-03-31 02:00	1411.75	52.375	27.875	202.75	88.125	29.125
2017-03-31 03:00	1270	41.75	52.875	164.875	80	34.142857142857146
2017-03-31 04:00	1144.5	25.875	79.125	128.5	73.75	27.857142857142858
2017-03-31 05:00	1057	21.75	89.75	104.5	60.875	22.285714285714285
2017-03-31 06:00	854.125	21.666666666666668	94.375	72.5	46.75	14.714285714285714
2017-03-31 07:00	795.375	18.333333333333332	100.875	63.75	41.5	13
2017-03-31 08:00	740.125	17.166666666666668	102.375	60.875	33.375	12.285714285714286
2017-03-31 09:00	717.5	15.5	101.125	64.5	33.125	9.25
2017-03-31 10:00	683.375	14.625	91.75	56.75	31.25	12
2017-03-31 11:00	711	20.5	85.625	73.125	37.375	14
2017-03-31 12:00	865.5	31.625	93.25	124.75	48.375	22
2017-03-31 13:00	954.5	40.125	74.75	144.75	71.75	29.375
2017-03-31 14:00	1015.875	44.75	68.875	147.625	75.125	37
2017-03-31 15:00	1038.375	44.625	69.5	146.875	72.375	37
2017-03-31 16:00	984.875	38.375	74.375	147.125	75.875	31.25
2017-03-31 17:00	994.125	46	58.75	137	78.625	29.125
2017-03-31 18:00	1104.625	63.75	30.75	162.25	84.75	28
2017-03-31 19:00	1260.25	67.75	25	165.625	83.75	29.625
2017-03-31 20:00	1284.875	63.125	25.125	138.375	64	30.75
2017-03-31 21:00	1125	59.375	24	116.625	50.375	32.25
2017-03-31 22:00	1047.625	56.125	26.625	105	46.75	34.875
2017-03-31 23:00	1022.75	51.25	31	83.625	40.75	35.125
2017-04-01 00:00	985.625	47.375	35.25	91.125	34.875	30.625
2017-04-01 01:00	988.625	43.875	39.75	77.875	33	33.25
2017-04-01 02:00	930.25	36.25	50.875	72.375	30.75	30.5
2017-04-01 03:00	840.875	29.5	60.375	68.375	23.625	24
2017-04-01 04:00	718.25	23.125	69.125	52	15.375	20.5
2017-04-01 05:00	625.25	18.375	79	41.125	13	16.25
2017-04-01 06:00	586.7142857142857	11	89.71428571428571	27.375	11	12
2017-04-01 07:00	496.625	10.428571428571429	95	22.25	10.375	10.875
2017-04-01 08:00	491.85714285714283	11.571428571428571	93.14285714285714	17	8.625	12.571428571428571
2017-04-01 09:00	487	13.714285714285714	92.28571428571429	18.75	8.125	13.142857142857142
2017-04-01 10:00	528.625	16.375	93.125	27.625	7.125	14.75
2017-04-01 11:00	573.1428571428571	21.285714285714285	82	43.875	12.75	20.571428571428573
2017-04-01 12:00	599.7142857142857	24.857142857142858	73	79.375	19	24.857142857142858
2017-04-01 13:00	630.75	28.375	69	74.625	25.25	30.25
2017-04-01 14:00	693.875	40.375	53.625	94.625	38.25	38.25
2017-04-01 15:00	863	54.5	37.375	107.375	40.625	56.125
2017-04-01 16:00	945.5	48.75	39.375	110.625	31	48.25
2017-04-01 17:00	989.625	48.25	34.75	110.875	35.375	41
2017-04-01 18:00	1038.625	57.75	21.25	112	38.75	39.875
2017-04-01 19:00	1080.5	64.25	15.375	109.5	40	35.75
2017-04-01 20:00	1123.5	65.375	15.25	103.625	34.5	30
2017-04-01 21:00	1145	66.375	12.25	118	35.25	32.625
2017-04-01 22:00	1118.125	59.5	15.875	113.625	37.75	39.375
2017-04-01 23:00	1336.625	61.5	13.5	142.375	60.75	38.75
2017-04-02 00:00	1560.25	54	25.875	142.5	80.75	40.5
2017-04-02 01:00	1858.375	51.5	34.5	135.25	74.875	43.5
2017-04-02 02:00	1901.75	49.5	45.375	139.625	72.125	43.5
2017-04-02 03:00	1641.625	50.375	54.5	143.25	79.625	42.625
2017-04-02 04:00	1776	50	75	155	87.375	40.75
2017-04-02 05:00	1820	47.875	90.28571428571429	193.625	97.25	44.5
2017-04-02 06:00	1805	46.375	109.42857142857143	166	86.5	42.375
2017-04-02 07:00	1399.75	38.875	123.875	158	85	37.5
2017-04-02 08:00	1134.857142857143	39.142857142857146	137.85714285714286	193.42857142857142	91.57142857142857	45.142857142857146
2017-04-02 09:00	1056.4285714285713	33.857142857142854	132.28571428571428	164.85714285714286	77.57142857142857	44.857142857142854
2017-04-02 10:00	1085.375	33.375	137.5	172.625	88.125	40.625
2017-04-02 11:00	1108.625	32.875	125.625	216	79	42.5
2017-04-02 12:00	961.75	32.75	105.875	206.875	61	35.75
2017-04-02 13:00	1010.875	45	82.5	141.875	73.375	37.5
2017-04-02 14:00	1054.375	62.875	58.125	162.25	93.75	46.5
2017-04-02 15:00	1225.75	81.25	33.875	170	83.875	50
2017-04-02 16:00	1523	97.625	14.25	214.625	103.125	49.75
2017-04-02 17:00	1639.25	97.25	12.428571428571429	230.875	119.375	48.75
2017-04-02 18:00	1664.75	94.25	13.142857142857142	255.125	126.375	50
2017-04-02 19:00	1608.375	91.125	13.571428571428571	251.5	128.625	50
2017-04-02 20:00	1613.5	85.5	12.5	248.5	119.625	51.625
2017-04-02 21:00	1670.25	79.375	14.625	245.5	118	52.125
2017-04-02 22:00	1841.25	81.875	14	238.75	108.5	53.25
2017-04-02 23:00	1912.125	85.375	9.285714285714286	246.375	111.75	52.5
2017-04-03 00:00	2105.625	83.625	9.285714285714286	255.875	109.875	52.5
2017-04-03 01:00	2191	77.375	12.625	257.25	106.25	55.5
2017-04-03 02:00	2281.125	74	21.25	235.5	97.125	60.125
2017-04-03 03:00	2179.125	73.625	32.5	232.875	99.875	60.125
2017-04-03 04:00	1737.25	58.75	66.57142857142857	201.875	104.75	50.5
2017-04-03 05:00	1543.2857142857142	43.75	112.14285714285714	191.375	101.75	42.285714285714285
2017-04-03 06:00	1719.75	47.42857142857143	113.75	201.75	106.57142857142857	45.857142857142854
2017-04-03 07:00	1789	45.285714285714285	118.28571428571429	240.25	124.125	61.875
2017-04-03 08:00	1817	38.857142857142854	130.25	221	117.375	62.375
2017-04-03 09:00	1852	40.714285714285715	129.85714285714286	246	141.375	74
2017-04-03 10:00	1715	35.875	120.5	308.14285714285717	120.85714285714286	66
2017-04-03 11:00	1212.625	30.375	118.625	202.5	96.625	49.625
