Timestamp (UTC)	Tianjin co	Tianjin no2	Tianjin o3	Tianjin pm10	Tianjin pm25	Tianjin so2
2017-03-31 01:00	1408	74.72	19.64	114.21739130434783	72.12	24.52
2017-03-31 02:00	1250	69	28.416666666666668	102.47368421052632	68.79166666666667	25.75
2017-03-31 03:00	920.8333333333334	45.375	59.25	80.5	51.625	18.708333333333332
2017-03-31 04:00	732	27.16	82.6	54.06666666666667	33.28	12.08
2017-03-31 05:00	690.9090909090909	18.73913043478261	92.5	41.705882352941174	26.08695652173913	11.208333333333334
2017-03-31 06:00	659.0909090909091	15.583333333333334	103.20833333333333	34.526315789473685	22.875	10.625
2017-03-31 07:00	659.0909090909091	15.708333333333334	109.75	32.526315789473685	21.875	9.708333333333334
2017-03-31 08:00	622.7272727272727	16.91304347826087	113.56521739130434	42.07692307692308	27.73913043478261	10.043478260869565
2017-03-31 09:00	591.304347826087	17.791666666666668	113.91666666666667	45.44444444444444	29.083333333333332	8.541666666666666
2017-03-31 10:00	586.3636363636364	17.434782608695652	114.47826086956522	50.714285714285715	28.217391304347824	8.304347826086957
2017-03-31 11:00	595.6521739130435	19.25	111.625	51.13333333333333	24.833333333333332	8.166666666666666
2017-03-31 12:00	666.6666666666666	26.75	102.84	45.38095238095238	23.041666666666668	8.64
2017-03-31 13:00	729.1666666666666	42.24	80.96	61.82608695652174	24.916666666666668	11.28
2017-03-31 14:00	958.3333333333334	64.2	55.64	92.48	35.25	14.52
2017-03-31 15:00	972	73.96	41.52	98.28	45.08	24.4
2017-03-31 16:00	936	71.2	41.56	105.52173913043478	49.56	26.04
2017-03-31 17:00	948	62.84	48.08	102.3913043478261	56.2	22.4
2017-03-31 18:00	996	61.88	50.36	112.58333333333333	58.48	24.16
2017-03-31 19:00	1100	54.36	58.2	129.72	75.2	26.56
2017-03-31 20:00	1080	50.28	57.68	130.20833333333334	80.2	26.68
2017-03-31 21:00	1164	52.32	51.08	140.125	84.2	29.52
2017-03-31 22:00	1245.8333333333333	60.125	36.583333333333336	141.5	93.41666666666667	29.458333333333332
2017-03-31 23:00	1376	68.88	24.4	149.4	104.76	30.88
2017-04-01 00:00	1376	76.64	14.48	139.72	104.72	27.92
2017-04-01 01:00	1332	79.84	14.04	137.34782608695653	98	26.76
2017-04-01 02:00	1720	80.16	20.2	153.44	90.08	38.36
2017-04-01 03:00	2652	78	33.4	168.45833333333334	90.96	54.24
2017-04-01 04:00	2644	69.68	51.68	146.32	88.76	53.56
2017-04-01 05:00	2020	54.56	72.44	108.71428571428571	76.68	38.32
2017-04-01 06:00	1472	39.56	91.2	78.26315789473684	59.32	26.88
2017-04-01 07:00	1184	31.96	101.96	63.19047619047619	47.84	21.12
2017-04-01 08:00	952	27.76	108.12	60.6	41.64	16.72
2017-04-01 09:00	880	26.96	113.52	64	37.64	14.96
2017-04-01 10:00	968	31.76	113.72	79.875	39.36	17.68
2017-04-01 11:00	1264	44.72	109.92	126.04	48.48	21.84
2017-04-01 12:00	1376	55.36	105.08	134.96	59.84	22.88
2017-04-01 13:00	1468	62.6	96.24	128.72	65.28	24.24
2017-04-01 14:00	1368	62.16	89.88	113.64	67.64	26.4
2017-04-01 15:00	1260	61.36	84.44	103.13636363636364	66.88	23.64
2017-04-01 16:00	1128	57.92	80.08	87.66666666666667	64.36	18.96
2017-04-01 17:00	1156	62.52	65.36	86.68	58.12	20.6
2017-04-01 18:00	1229.1666666666667	67.66666666666667	54.208333333333336	89.95454545454545	56.625	22.833333333333332
2017-04-01 19:00	1268	86	29.76	102.43478260869566	61.68	28.52
2017-04-01 20:00	1312	86	25.666666666666668	107.86363636363636	70.4	28.92
2017-04-01 21:00	1332	82.36	25.041666666666668	106.85714285714286	71.56	26.64
2017-04-01 22:00	1560	89.84	15.666666666666666	115.29166666666667	71.08	30.92
2017-04-01 23:00	1652	92.04	10.521739130434783	123.625	75.2	38.56
2017-04-02 00:00	1984	90.92	7.3478260869565215	138.83333333333334	84.84	36.92
2017-04-02 01:00	2144	89.8	8.75	147.52	94.56	36.64
2017-04-02 02:00	2268	88.48	16.375	166.8	103.84	44.92
2017-04-02 03:00	2268	85.4	26.68	170.875	111.76	54.68
2017-04-02 04:00	2116	80.84	44.32	150.04	106.8	60.6
2017-04-02 05:00	1928	73.52	64.16	146.5	104.2	53.36
2017-04-02 06:00	1668	63.88	86.92	136.95652173913044	101.84	45.92
2017-04-02 07:00	1568	58.4	102.52	136.34782608695653	97.8	41.56
2017-04-02 08:00	1504	58.36	113.56	132.29166666666666	101.4	38.48
2017-04-02 09:00	1396	58.16	118.88	142.73684210526315	103.8	36.32
2017-04-02 10:00	1260	55.92	125.12	148.3846153846154	99.76	32.8
2017-04-02 11:00	1216	56.88	127.24	141.76470588235293	90.48	30.96
2017-04-02 12:00	1191.6666666666667	61.833333333333336	120.5	134.72727272727272	89.25	29.791666666666668
2017-04-02 13:00	1316	86.4	89.92	154.8	95.88	31.24
2017-04-02 14:00	1516	104.6	61.64	197.12	114.4	31.8
2017-04-02 15:00	1720	123.84	38.96	220.24	138.2	32.32
2017-04-02 16:00	1788	126.04	37	234.8095238095238	151.88	34
2017-04-02 17:00	1796	132.36	31.041666666666668	233.95454545454547	160.64	36.88
2017-04-02 18:00	1862.5	130.04166666666666	30.91304347826087	229.1904761904762	162.20833333333334	38.583333333333336
2017-04-02 19:00	2080	134.88	20.041666666666668	211.52173913043478	164.56	40.52
2017-04-02 20:00	2208	131.72	19.434782608695652	211.91304347826087	162.52	40.12
2017-04-02 21:00	2204	130.04	16.217391304347824	202.04166666666666	159.8	37.68
2017-04-02 22:00	2112	128.48	13.227272727272727	202.33333333333334	160.84	34.88
2017-04-02 23:00	2012	125.4	10.521739130434783	192.85714285714286	161.04	34.56
2017-04-03 00:00	1980	122.68	6.409090909090909	199.79166666666666	159.76	34.76
2017-04-03 01:00	2008	119.56	10.333333333333334	208.45454545454547	163.08	38.32
2017-04-03 02:00	2204	112.88	22.52	231.08333333333334	171.36	50.12
2017-04-03 03:00	2140	106.44	40.28	250.8695652173913	187.64	56.68
2017-04-03 04:00	1964	82.92	73.8	225	178.32	51.44
2017-04-03 05:00	1716	61	104.6	200	151.88	42.28
2017-04-03 06:00	1380	44	138.28	154.55555555555554	129.88	36.88
2017-04-03 07:00	1184	29.6	168.32	127.25	116.44	34.84
2017-04-03 08:00	1112	26.64	180.52	121	103.2	34.08
2017-04-03 09:00	1072	25.68	184.4	126	97.44	28.52
2017-04-03 10:00	964	26.56	182.08	122.4	87.16	27.4
