Timestamp (UTC)	Zhangjiakou co	Zhangjiakou no2	Zhangjiakou o3	Zhangjiakou pm10	Zhangjiakou pm25	Zhangjiakou so2
2017-03-31 01:00	621	29.2	58.8	40.8	18.8	23
2017-03-31 02:00	606.2	25	71.2	37.8	17.8	16
2017-03-31 03:00	519.6	25.2	81.6	32.2	16.4	12.75
2017-03-31 04:00	551.4	27.6	82.6	36.4	13.4	13.25
2017-03-31 05:00	527.8	24.8	94.4	41.8	12.4	11.4
2017-03-31 06:00	410.4	18.25	105.8	33.8	10.4	10
2017-03-31 07:00	385.8	12.4	109.8	26.25	8	10.75
2017-03-31 08:00	399.75	11.6	110.4	37.6	10.2	10.4
2017-03-31 09:00	365.8	12	107.75	39.4	13.333333333333334	6.4
2017-03-31 10:00	383.8	12.4	104	49	11	5.5
2017-03-31 11:00	415	15.6	104	41.4	16.2	6
2017-03-31 12:00	436.6	19	101	35.8	19.2	9
2017-03-31 13:00	513.4	24.2	87.8	40.2	17.2	13
2017-03-31 14:00	563	28	73.2	51.6	20.8	11.2
2017-03-31 15:00	558	29.2	69.8	63.4	36.2	11
2017-03-31 16:00	553.8	29.4	67.4	53.4	18.2	10.6
2017-03-31 17:00	738	40.2	47.6	67.8	26.4	22.8
2017-03-31 18:00	735	38.2	47	57	24.6	15.2
2017-03-31 19:00	827.2	39.8	39.2	65	31.4	11.8
2017-03-31 20:00	642.8	31.6	58.8	53.8	45	10.2
2017-03-31 21:00	631.6	33	55	46.4	27.2	10.4
2017-03-31 22:00	733.2	33.2	50.2	47.8	24.8	11.2
2017-03-31 23:00	654.8	25.4	52.6	49	24.4	13.2
2017-04-01 00:00	672.8	30.4	50.8	48.8	21.2	25
2017-04-01 01:00	715.6	30.8	53	62.6	21.2	34.6
2017-04-01 02:00	786.4	29.8	62.6	53	14.8	20.8
2017-04-01 03:00	614	29.2	76.4	44.8	16.6	13.2
2017-04-01 04:00	590.6	30.4	85.2	38.4	12.6	14
2017-04-01 05:00	448.4	22.8	106.2	42	12	12
2017-04-01 06:00	382.8	18.2	114.8	42.2	8	11.2
2017-04-01 07:00	379.5	13.75	112.25	30	4.75	12.5
2017-04-01 08:00	376	14	117.25	38.2	5.5	13
2017-04-01 09:00	370.8	12.6	120.6	57.6	5.2	12.6
2017-04-01 10:00	391.8	14.2	119.8	50	10	11.6
2017-04-01 11:00	440	17.8	118.8	48	13.4	13
2017-04-01 12:00	465.4	21	110.4	35	13	16
2017-04-01 13:00	547.2	38	83	34.8	19.2	28.4
2017-04-01 14:00	658.8	43.6	65.2	61	28.6	28.8
2017-04-01 15:00	736.8	46.4	59.4	68	32.8	22.6
2017-04-01 16:00	728.4	41.4	56.4	70	30.2	28.4
2017-04-01 17:00	605.6	30.6	63	56.2	31.4	26.8
2017-04-01 18:00	534	23.8	68.8	48.6	25	15.8
2017-04-01 19:00	498.8	21	69.2	46.4	21.2	12.6
2017-04-01 20:00	475.8	21.2	69.8	40.4	16.2	12.8
2017-04-01 21:00	447	17	71.6	33.4	17.75	12
2017-04-01 22:00	441	15.6	70.6	33.8	19	11.8
2017-04-01 23:00	452.6	16.2	65.8	32.4	13.2	17
