Timestamp (UTC),Beijing co,Beijing no2,Beijing o3,Beijing pm10,Beijing pm25,Beijing so2,Beijing pressure,Beijing windSpeed,Beijing windBearing,Zhangjiakou co,Zhangjiakou no2,Zhangjiakou o3,Zhangjiakou pm10,Zhangjiakou pm25,Zhangjiakou so2,Zhangjiakou pressure,Zhangjiakou windSpeed,Zhangjiakou windBearing,Qinhuangdao co,Qinhuangdao no2,Qinhuangdao o3,Qinhuangdao pm10,Qinhuangdao pm25,Qinhuangdao so2,Qinhuangdao pressure,Qinhuangdao windSpeed,Qinhuangdao windBearing,Shijiazhuang co,Shijiazhuang no2,Shijiazhuang o3,Shijiazhuang pm10,Shijiazhuang pm25,Shijiazhuang so2,Shijiazhuang pressure,Shijiazhuang windSpeed,Shijiazhuang windBearing,Tianjin co,Tianjin no2,Tianjin o3,Tianjin pm10,Tianjin pm25,Tianjin so2,Tianjin pressure,Tianjin windSpeed,Tianjin windBearing
2017-03-31 01:00:00,411.42857142857144,44.4,47.457142857142856,38.15625,17.771428571428572,5.085714285714285,1017.7,3.34,2,621,29.2,58.8,40.8,18.8,23,1018.43,3.9,24,959.8,53.2,70,70.8,45.8,37,1018.04,0.4,268,1376.375,60.875,11.75,181.75,97.75,24.125,1017.52,2.24,11,1408,74.72,19.64,114.21739130434783,72.12,24.52,1017.71,6.72,330
2017-03-31 02:00:00,358.8235294117647,30.970588235294116,65.05882352941177,28.482758620689655,15.352941176470589,5.235294117647059,1017.98,5.19,0,606.2,25,71.2,37.8,17.8,16,1018.85,3.82,24,978.2,37.6,88.8,61,33.8,22.4,1018.27,0.51,281,1411.75,52.375,27.875,202.75,88.125,29.125,1017.83,0,,1250,69,28.416666666666668,102.47368421052632,68.79166666666667,25.75,1017.94,4.48,320
2017-03-31 03:00:00,287.8787878787879,18.96875,81.6969696969697,23.695652173913043,12.272727272727273,4.121212121212121,1018.32,4.15,341,519.6,25.2,81.6,32.2,16.4,12.75,1019.28,3.55,25,642.6,21,107.2,41.6,30.4,13.2,1018.54,0.58,293,1270,41.75,52.875,164.875,80,34.142857142857146,1018.22,2.24,320,920.8333333333334,45.375,59.25,80.5,51.625,18.708333333333332,1018.25,4.48,320
2017-03-31 04:00:00,263.6363636363636,15.78125,89.0625,18.8,10.818181818181818,3.484848484848485,1018.62,4.31,353,551.4,27.6,82.6,36.4,13.4,13.25,1019.6,3.15,29,585.75,17,116.2,34.6,24.6,11.8,1018.79,0.54,306,1144.5,25.875,79.125,128.5,73.75,27.857142857142858,1018.58,6.72,320,732,27.16,82.6,54.06666666666667,33.28,12.08,1018.56,8.96,330
2017-03-31 05:00:00,264.70588235294116,15.235294117647058,91.18181818181819,18.705882352941178,11.058823529411764,3.1470588235294117,1018.78,6.14,355,527.8,24.8,94.4,41.8,12.4,11.4,1019.68,2.7,35,571.4,23.4,113.8,40.4,26.2,12,1018.92,0.4,325,1057,21.75,89.75,104.5,60.875,22.285714285714285,1018.8,6.72,311,690.9090909090909,18.73913043478261,92.5,41.705882352941174,26.08695652173913,11.208333333333334,1018.76,11.19,0
2017-03-31 06:00:00,255.88235294117646,15.117647058823529,92.03125,18.05263157894737,12.088235294117647,3.2058823529411766,1018.72,5.78,45,410.4,18.25,105.8,33.8,10.4,10,1019.46,2.31,44,606.6,23.8,120,45.4,28.6,12.6,1018.86,0.23,20,854.125,21.666666666666668,94.375,72.5,46.75,14.714285714285714,1018.79,6.72,300,659.0909090909091,15.583333333333334,103.20833333333333,34.526315789473685,22.875,10.625,1018.77,8.96,341
2017-03-31 07:00:00,244.11764705882354,15.235294117647058,93.60606060606061,20.26923076923077,10.529411764705882,3.2058823529411766,1018.42,4.15,41,385.8,12.4,109.8,26.25,8,10.75,1018.95,2.07,56,577.4,22.6,126.8,49.4,30.4,12.2,1018.6,0.44,97,795.375,18.333333333333332,100.875,63.75,41.5,13,1018.5,4.48,281,659.0909090909091,15.708333333333334,109.75,32.526315789473685,21.875,9.708333333333334,1018.56,8.96,330
2017-03-31 08:00:00,247.05882352941177,16.264705882352942,94.41176470588235,21.962962962962962,10.029411764705882,2.8823529411764706,1017.9,4.15,41,399.75,11.6,110.4,37.6,10.2,10.4,1018.23,1.97,66,588.8,21,132.6,53.6,27.8,11,1018.18,0.9,121,740.125,17.166666666666668,102.375,60.875,33.375,12.285714285714286,1017.97,4.48,320,622.7272727272727,16.91304347826087,113.56521739130434,42.07692307692308,27.73913043478261,10.043478260869565,1018.14,6.72,311
2017-03-31 09:00:00,242.42424242424244,16.58823529411765,96.03030303030303,29.09375,11.617647058823529,3.0294117647058822,1017.26,2.02,164,365.8,12,107.75,39.4,13.333333333333334,6.4,1017.41,1.94,70,534.2,19.6,129,48.4,26.4,10.8,1017.65,1.42,134,717.5,15.5,101.125,64.5,33.125,9.25,1017.29,4.48,320,591.304347826087,17.791666666666668,113.91666666666667,45.44444444444444,29.083333333333332,8.541666666666666,1017.59,6.72,350
2017-03-31 10:00:00,252.94117647058823,20.484848484848484,94.06060606060606,32.93939393939394,11.294117647058824,2.911764705882353,1016.6,3.64,128,383.8,12.4,104,49,11,5.5,1016.66,1.9,68,607.6,22.4,123.8,49.8,28.8,11.4,1017.14,1.9,143,683.375,14.625,91.75,56.75,31.25,12,1016.59,4.48,350,586.3636363636364,17.434782608695652,114.47826086956522,50.714285714285715,28.217391304347824,8.304347826086957,1017.01,8.96,11
